run_desc,Sum of avg_fitness,population_size
Improved Algorithm,-331,15
Improved Algorithm,67,30
Improved Algorithm,76,60
Improved Algorithm,102,120
Standard Algorithm,-503,15
Standard Algorithm,3,30
Standard Algorithm,71,60
Standard Algorithm,78,120
