run_desc,Sum of run_duration,population_size
Improved Algorithm,12,15
Improved Algorithm,12,30
Improved Algorithm,19,60
Improved Algorithm,33,120
Standard Algorithm,16,15
Standard Algorithm,16,30
Standard Algorithm,23,60
Standard Algorithm,38,120
