run_desc,Sum of avg_fitness,population_size
Improved Algorithm,-667,15
Improved Algorithm,-9,30
Improved Algorithm,82,60
Improved Algorithm,115,120
Standard Algorithm,-1030,15
Standard Algorithm,-129,30
Standard Algorithm,15,60
Standard Algorithm,68,120
