generation_no,run_desc,population_size,Sum of fitness
22,Standard Algorithm,30,-405
22,Standard Algorithm,60,-295
22,Standard Algorithm,120,-255
23,Improved Algorithm,15,-390
23,Improved Algorithm,30,-265
23,Improved Algorithm,60,-210
23,Improved Algorithm,120,-250
23,Standard Algorithm,15,-580
23,Standard Algorithm,30,-405
23,Standard Algorithm,60,-275
23,Standard Algorithm,120,-255
24,Improved Algorithm,15,-390
24,Improved Algorithm,30,-265
24,Improved Algorithm,60,-210
24,Improved Algorithm,120,-235
24,Standard Algorithm,15,-580
24,Standard Algorithm,30,-395
24,Standard Algorithm,60,-250
24,Standard Algorithm,120,-245
25,Improved Algorithm,15,-390
25,Improved Algorithm,30,-255
25,Improved Algorithm,60,-200
25,Improved Algorithm,120,-235
25,Standard Algorithm,15,-570
25,Standard Algorithm,30,-380
25,Standard Algorithm,60,-250
25,Standard Algorithm,120,-245
26,Improved Algorithm,15,-390
26,Improved Algorithm,30,-255
26,Improved Algorithm,60,-200
26,Improved Algorithm,120,-225
26,Standard Algorithm,15,-570
26,Standard Algorithm,30,-380
26,Standard Algorithm,60,-250
26,Standard Algorithm,120,-235
27,Improved Algorithm,15,-390
27,Improved Algorithm,30,-250
27,Improved Algorithm,60,-200
27,Improved Algorithm,120,-185
27,Standard Algorithm,15,-570
27,Standard Algorithm,30,-365
27,Standard Algorithm,60,-245
27,Standard Algorithm,120,-235
28,Improved Algorithm,15,-390
28,Improved Algorithm,30,-235
28,Improved Algorithm,60,-200
28,Improved Algorithm,120,-185
28,Standard Algorithm,15,-570
28,Standard Algorithm,30,-365
28,Standard Algorithm,60,-245
28,Standard Algorithm,120,-235
29,Improved Algorithm,15,-390
29,Improved Algorithm,30,-220
29,Improved Algorithm,60,-200
29,Improved Algorithm,120,-180
29,Standard Algorithm,15,-570
29,Standard Algorithm,30,-365
29,Standard Algorithm,60,-245
29,Standard Algorithm,120,-225
30,Improved Algorithm,15,-390
30,Improved Algorithm,30,-205
30,Improved Algorithm,60,-200
30,Improved Algorithm,120,-175
30,Standard Algorithm,15,-570
30,Standard Algorithm,30,-365
30,Standard Algorithm,60,-210
30,Standard Algorithm,120,-225
31,Improved Algorithm,15,-390
31,Improved Algorithm,30,-195
31,Improved Algorithm,60,-185
31,Improved Algorithm,120,-175
31,Standard Algorithm,15,-570
31,Standard Algorithm,30,-365
31,Standard Algorithm,60,-210
31,Standard Algorithm,120,-210
32,Improved Algorithm,15,-390
32,Improved Algorithm,30,-190
32,Improved Algorithm,60,-170
32,Improved Algorithm,120,-150
32,Standard Algorithm,15,-570
32,Standard Algorithm,30,-360
32,Standard Algorithm,60,-210
32,Standard Algorithm,120,-205
33,Improved Algorithm,15,-360
33,Improved Algorithm,30,-180
33,Improved Algorithm,60,-170
33,Improved Algorithm,120,-150
33,Standard Algorithm,15,-570
33,Standard Algorithm,30,-360
33,Standard Algorithm,60,-205
33,Standard Algorithm,120,-205
34,Improved Algorithm,15,-360
34,Improved Algorithm,30,-170
34,Improved Algorithm,60,-170
34,Improved Algorithm,120,-130
34,Standard Algorithm,15,-570
34,Standard Algorithm,30,-360
34,Standard Algorithm,60,-185
34,Standard Algorithm,120,-205
35,Improved Algorithm,15,-360
35,Improved Algorithm,30,-170
35,Improved Algorithm,60,-170
35,Improved Algorithm,120,-130
35,Standard Algorithm,15,-570
35,Standard Algorithm,30,-360
35,Standard Algorithm,60,-165
35,Standard Algorithm,120,-200
36,Improved Algorithm,15,-360
36,Improved Algorithm,30,-170
36,Improved Algorithm,60,-170
36,Improved Algorithm,120,-115
36,Standard Algorithm,15,-570
36,Standard Algorithm,30,-340
36,Standard Algorithm,60,-160
36,Standard Algorithm,120,-185
37,Improved Algorithm,15,-360
37,Improved Algorithm,30,-160
37,Improved Algorithm,60,-170
37,Improved Algorithm,120,-115
37,Standard Algorithm,15,-570
37,Standard Algorithm,30,-330
37,Standard Algorithm,60,-155
37,Standard Algorithm,120,-185
38,Improved Algorithm,15,-360
38,Improved Algorithm,30,-150
38,Improved Algorithm,60,-160
38,Improved Algorithm,120,-115
38,Standard Algorithm,15,-570
38,Standard Algorithm,30,-325
38,Standard Algorithm,60,-150
38,Standard Algorithm,120,-160
39,Improved Algorithm,15,-360
39,Improved Algorithm,30,-150
39,Improved Algorithm,60,-155
39,Improved Algorithm,120,-95
39,Standard Algorithm,15,-570
39,Standard Algorithm,30,-320
39,Standard Algorithm,60,-145
39,Standard Algorithm,120,-160
40,Improved Algorithm,15,-360
40,Improved Algorithm,30,-150
40,Improved Algorithm,60,-145
40,Improved Algorithm,120,-95
40,Standard Algorithm,15,-570
40,Standard Algorithm,30,-290
40,Standard Algorithm,60,-145
40,Standard Algorithm,120,-160
41,Improved Algorithm,15,-360
41,Improved Algorithm,30,-140
41,Improved Algorithm,60,-140
41,Improved Algorithm,120,-85
41,Standard Algorithm,15,-570
41,Standard Algorithm,30,-290
41,Standard Algorithm,60,-145
41,Standard Algorithm,120,-160
42,Improved Algorithm,15,-360
42,Improved Algorithm,30,-130
42,Improved Algorithm,60,-130
42,Improved Algorithm,120,-85
42,Standard Algorithm,15,-570
42,Standard Algorithm,30,-285
42,Standard Algorithm,60,-135
42,Standard Algorithm,120,-160
43,Improved Algorithm,15,-360
43,Improved Algorithm,30,-115
43,Improved Algorithm,60,-125
43,Improved Algorithm,120,-70
43,Standard Algorithm,15,-570
43,Standard Algorithm,30,-280
43,Standard Algorithm,60,-135
43,Standard Algorithm,120,-150
44,Improved Algorithm,15,-360
44,Improved Algorithm,30,-100
44,Improved Algorithm,60,-125
44,Improved Algorithm,120,-70
44,Standard Algorithm,15,-570
44,Standard Algorithm,30,-280
44,Standard Algorithm,60,-130
44,Standard Algorithm,120,-140
45,Improved Algorithm,15,-360
45,Improved Algorithm,30,-100
45,Improved Algorithm,60,-120
45,Improved Algorithm,120,-65
45,Standard Algorithm,15,-570
45,Standard Algorithm,30,-275
45,Standard Algorithm,60,-130
45,Standard Algorithm,120,-135
46,Improved Algorithm,15,-335
46,Improved Algorithm,30,-100
46,Improved Algorithm,60,-105
46,Improved Algorithm,120,-65
46,Standard Algorithm,15,-570
46,Standard Algorithm,30,-260
46,Standard Algorithm,60,-130
46,Standard Algorithm,120,-135
47,Improved Algorithm,15,-335
47,Improved Algorithm,30,-100
47,Improved Algorithm,60,-100
47,Improved Algorithm,120,-50
47,Standard Algorithm,15,-495
47,Standard Algorithm,30,-250
47,Standard Algorithm,60,-130
47,Standard Algorithm,120,-125
48,Improved Algorithm,15,-335
48,Improved Algorithm,30,-100
48,Improved Algorithm,60,-100
48,Improved Algorithm,120,-50
48,Standard Algorithm,15,-495
48,Standard Algorithm,30,-235
48,Standard Algorithm,60,-125
48,Standard Algorithm,120,-125
49,Improved Algorithm,15,-335
49,Improved Algorithm,30,-85
49,Improved Algorithm,60,-100
49,Improved Algorithm,120,-45
49,Standard Algorithm,15,-495
49,Standard Algorithm,30,-235
49,Standard Algorithm,60,-120
49,Standard Algorithm,120,-115
50,Improved Algorithm,15,-335
50,Improved Algorithm,30,-85
50,Improved Algorithm,60,-100
50,Improved Algorithm,120,-45
50,Standard Algorithm,15,-495
50,Standard Algorithm,30,-235
50,Standard Algorithm,60,-120
50,Standard Algorithm,120,-115
51,Improved Algorithm,15,-335
51,Improved Algorithm,30,-85
51,Improved Algorithm,60,-100
51,Improved Algorithm,120,-45
51,Standard Algorithm,15,-495
51,Standard Algorithm,30,-230
51,Standard Algorithm,60,-115
51,Standard Algorithm,120,-115
52,Improved Algorithm,15,-335
52,Improved Algorithm,30,-85
52,Improved Algorithm,60,-100
52,Improved Algorithm,120,-35
52,Standard Algorithm,15,-495
52,Standard Algorithm,30,-230
52,Standard Algorithm,60,-105
52,Standard Algorithm,120,-115
53,Improved Algorithm,15,-335
53,Improved Algorithm,30,-85
53,Improved Algorithm,60,-100
53,Improved Algorithm,120,-35
53,Standard Algorithm,15,-495
53,Standard Algorithm,30,-230
53,Standard Algorithm,60,-105
53,Standard Algorithm,120,-115
54,Improved Algorithm,15,-335
54,Improved Algorithm,30,-70
54,Improved Algorithm,60,-100
54,Improved Algorithm,120,-25
54,Standard Algorithm,15,-495
54,Standard Algorithm,30,-215
54,Standard Algorithm,60,-105
54,Standard Algorithm,120,-105
55,Improved Algorithm,15,-335
55,Improved Algorithm,30,-70
55,Improved Algorithm,60,-95
55,Improved Algorithm,120,-25
55,Standard Algorithm,15,-495
55,Standard Algorithm,30,-210
55,Standard Algorithm,60,-90
55,Standard Algorithm,120,-105
56,Improved Algorithm,15,-335
56,Improved Algorithm,30,-70
56,Improved Algorithm,60,-95
56,Improved Algorithm,120,-15
56,Standard Algorithm,15,-495
56,Standard Algorithm,30,-210
56,Standard Algorithm,60,-90
56,Standard Algorithm,120,-105
57,Improved Algorithm,15,-335
57,Improved Algorithm,30,-70
57,Improved Algorithm,60,-95
