run_desc,Sum of run_duration,population_size
Improved Algorithm,11,15
Improved Algorithm,15,30
Improved Algorithm,17,60
Improved Algorithm,23,120
Standard Algorithm,14,15
Standard Algorithm,12,30
Standard Algorithm,15,60
Standard Algorithm,24,120
