generation_no,run_desc,population_size,Sum of fitness
22,Improved Algorithm,120,-495
22,Standard Algorithm,15,-1080
22,Standard Algorithm,30,-770
22,Standard Algorithm,60,-700
22,Standard Algorithm,120,-590
23,Improved Algorithm,15,-690
23,Improved Algorithm,30,-555
23,Improved Algorithm,60,-490
23,Improved Algorithm,120,-495
23,Standard Algorithm,15,-1080
23,Standard Algorithm,30,-770
23,Standard Algorithm,60,-700
23,Standard Algorithm,120,-565
24,Improved Algorithm,15,-690
24,Improved Algorithm,30,-550
24,Improved Algorithm,60,-490
24,Improved Algorithm,120,-475
24,Standard Algorithm,15,-1080
24,Standard Algorithm,30,-755
24,Standard Algorithm,60,-670
24,Standard Algorithm,120,-565
25,Improved Algorithm,15,-690
25,Improved Algorithm,30,-540
25,Improved Algorithm,60,-455
25,Improved Algorithm,120,-465
25,Standard Algorithm,15,-1080
25,Standard Algorithm,30,-735
25,Standard Algorithm,60,-655
25,Standard Algorithm,120,-565
26,Improved Algorithm,15,-690
26,Improved Algorithm,30,-540
26,Improved Algorithm,60,-455
26,Improved Algorithm,120,-450
26,Standard Algorithm,15,-1080
26,Standard Algorithm,30,-735
26,Standard Algorithm,60,-655
26,Standard Algorithm,120,-565
27,Improved Algorithm,15,-690
27,Improved Algorithm,30,-540
27,Improved Algorithm,60,-455
27,Improved Algorithm,120,-450
27,Standard Algorithm,15,-1080
27,Standard Algorithm,30,-735
27,Standard Algorithm,60,-655
27,Standard Algorithm,120,-515
28,Improved Algorithm,15,-690
28,Improved Algorithm,30,-540
28,Improved Algorithm,60,-445
28,Improved Algorithm,120,-450
28,Standard Algorithm,15,-1080
28,Standard Algorithm,30,-735
28,Standard Algorithm,60,-640
28,Standard Algorithm,120,-515
29,Improved Algorithm,15,-690
29,Improved Algorithm,30,-540
29,Improved Algorithm,60,-440
29,Improved Algorithm,120,-420
29,Standard Algorithm,15,-1080
29,Standard Algorithm,30,-735
29,Standard Algorithm,60,-635
29,Standard Algorithm,120,-515
30,Improved Algorithm,15,-690
30,Improved Algorithm,30,-535
30,Improved Algorithm,60,-440
30,Improved Algorithm,120,-420
30,Standard Algorithm,15,-1080
30,Standard Algorithm,30,-735
30,Standard Algorithm,60,-630
30,Standard Algorithm,120,-515
31,Improved Algorithm,15,-690
31,Improved Algorithm,30,-535
31,Improved Algorithm,60,-430
31,Improved Algorithm,120,-415
31,Standard Algorithm,15,-1080
31,Standard Algorithm,30,-735
31,Standard Algorithm,60,-585
31,Standard Algorithm,120,-515
32,Improved Algorithm,15,-690
32,Improved Algorithm,30,-530
32,Improved Algorithm,60,-420
32,Improved Algorithm,120,-415
32,Standard Algorithm,15,-1080
32,Standard Algorithm,30,-710
32,Standard Algorithm,60,-575
32,Standard Algorithm,120,-500
33,Improved Algorithm,15,-690
33,Improved Algorithm,30,-525
33,Improved Algorithm,60,-420
33,Improved Algorithm,120,-405
33,Standard Algorithm,15,-1080
33,Standard Algorithm,30,-695
33,Standard Algorithm,60,-575
33,Standard Algorithm,120,-500
34,Improved Algorithm,15,-690
34,Improved Algorithm,30,-510
34,Improved Algorithm,60,-380
34,Improved Algorithm,120,-385
34,Standard Algorithm,15,-1065
34,Standard Algorithm,30,-695
34,Standard Algorithm,60,-560
34,Standard Algorithm,120,-500
35,Improved Algorithm,15,-690
35,Improved Algorithm,30,-485
35,Improved Algorithm,60,-380
35,Improved Algorithm,120,-375
35,Standard Algorithm,15,-1065
35,Standard Algorithm,30,-675
35,Standard Algorithm,60,-560
35,Standard Algorithm,120,-490
36,Improved Algorithm,15,-690
36,Improved Algorithm,30,-480
36,Improved Algorithm,60,-375
36,Improved Algorithm,120,-365
36,Standard Algorithm,15,-1065
36,Standard Algorithm,30,-645
36,Standard Algorithm,60,-535
36,Standard Algorithm,120,-445
37,Improved Algorithm,15,-690
37,Improved Algorithm,30,-465
37,Improved Algorithm,60,-350
37,Improved Algorithm,120,-360
37,Standard Algorithm,15,-1065
37,Standard Algorithm,30,-645
37,Standard Algorithm,60,-535
37,Standard Algorithm,120,-445
38,Improved Algorithm,15,-690
38,Improved Algorithm,30,-465
38,Improved Algorithm,60,-350
38,Improved Algorithm,120,-360
38,Standard Algorithm,15,-1065
38,Standard Algorithm,30,-635
38,Standard Algorithm,60,-525
38,Standard Algorithm,120,-435
39,Improved Algorithm,15,-690
39,Improved Algorithm,30,-465
39,Improved Algorithm,60,-340
39,Improved Algorithm,120,-350
39,Standard Algorithm,15,-1065
39,Standard Algorithm,30,-635
39,Standard Algorithm,60,-500
39,Standard Algorithm,120,-435
40,Improved Algorithm,15,-690
40,Improved Algorithm,30,-455
40,Improved Algorithm,60,-335
40,Improved Algorithm,120,-350
40,Standard Algorithm,15,-1065
40,Standard Algorithm,30,-635
40,Standard Algorithm,60,-500
40,Standard Algorithm,120,-430
41,Improved Algorithm,15,-690
41,Improved Algorithm,30,-455
41,Improved Algorithm,60,-330
41,Improved Algorithm,120,-340
41,Standard Algorithm,15,-1065
41,Standard Algorithm,30,-620
41,Standard Algorithm,60,-470
41,Standard Algorithm,120,-430
42,Improved Algorithm,15,-690
42,Improved Algorithm,30,-440
42,Improved Algorithm,60,-300
42,Improved Algorithm,120,-335
42,Standard Algorithm,15,-1065
42,Standard Algorithm,30,-620
42,Standard Algorithm,60,-470
42,Standard Algorithm,120,-425
43,Improved Algorithm,15,-690
43,Improved Algorithm,30,-440
43,Improved Algorithm,60,-285
43,Improved Algorithm,120,-315
43,Standard Algorithm,15,-1065
43,Standard Algorithm,30,-620
43,Standard Algorithm,60,-460
43,Standard Algorithm,120,-410
44,Improved Algorithm,15,-690
44,Improved Algorithm,30,-440
44,Improved Algorithm,60,-280
44,Improved Algorithm,120,-315
44,Standard Algorithm,15,-1065
44,Standard Algorithm,30,-610
44,Standard Algorithm,60,-455
44,Standard Algorithm,120,-410
45,Improved Algorithm,15,-690
45,Improved Algorithm,30,-440
45,Improved Algorithm,60,-280
45,Improved Algorithm,120,-305
45,Standard Algorithm,15,-1065
45,Standard Algorithm,30,-610
45,Standard Algorithm,60,-455
45,Standard Algorithm,120,-405
46,Improved Algorithm,15,-690
46,Improved Algorithm,30,-420
46,Improved Algorithm,60,-280
46,Improved Algorithm,120,-305
46,Standard Algorithm,15,-1065
46,Standard Algorithm,30,-590
46,Standard Algorithm,60,-430
46,Standard Algorithm,120,-405
47,Improved Algorithm,15,-690
47,Improved Algorithm,30,-420
47,Improved Algorithm,60,-265
47,Improved Algorithm,120,-295
47,Standard Algorithm,15,-1065
47,Standard Algorithm,30,-590
47,Standard Algorithm,60,-430
47,Standard Algorithm,120,-390
48,Improved Algorithm,15,-690
48,Improved Algorithm,30,-415
48,Improved Algorithm,60,-255
48,Improved Algorithm,120,-275
48,Standard Algorithm,15,-1065
48,Standard Algorithm,30,-590
48,Standard Algorithm,60,-410
48,Standard Algorithm,120,-375
49,Improved Algorithm,15,-690
49,Improved Algorithm,30,-410
49,Improved Algorithm,60,-240
49,Improved Algorithm,120,-270
49,Standard Algorithm,15,-1065
49,Standard Algorithm,30,-590
49,Standard Algorithm,60,-400
49,Standard Algorithm,120,-365
50,Improved Algorithm,15,-690
50,Improved Algorithm,30,-405
50,Improved Algorithm,60,-240
50,Improved Algorithm,120,-270
50,Standard Algorithm,15,-1065
50,Standard Algorithm,30,-585
50,Standard Algorithm,60,-400
50,Standard Algorithm,120,-365
51,Improved Algorithm,15,-690
51,Improved Algorithm,30,-405
51,Improved Algorithm,60,-240
51,Improved Algorithm,120,-255
51,Standard Algorithm,15,-1065
51,Standard Algorithm,30,-570
51,Standard Algorithm,60,-400
51,Standard Algorithm,120,-360
52,Improved Algorithm,15,-690
52,Improved Algorithm,30,-405
52,Improved Algorithm,60,-240
52,Improved Algorithm,120,-255
52,Standard Algorithm,15,-1065
52,Standard Algorithm,30,-570
52,Standard Algorithm,60,-400
52,Standard Algorithm,120,-350
53,Improved Algorithm,15,-690
53,Improved Algorithm,30,-400
53,Improved Algorithm,60,-240
53,Improved Algorithm,120,-250
53,Standard Algorithm,15,-1065
53,Standard Algorithm,30,-570
53,Standard Algorithm,60,-395
53,Standard Algorithm,120,-330
54,Improved Algorithm,15,-690
54,Improved Algorithm,30,-390
54,Improved Algorithm,60,-225
54,Improved Algorithm,120,-235
54,Standard Algorithm,15,-1065
54,Standard Algorithm,30,-570
54,Standard Algorithm,60,-395
54,Standard Algorithm,120,-330
55,Improved Algorithm,15,-690
55,Improved Algorithm,30,-390
55,Improved Algorithm,60,-225
55,Improved Algorithm,120,-225
55,Standard Algorithm,15,-1065
55,Standard Algorithm,30,-550
55,Standard Algorithm,60,-395
55,Standard Algorithm,120,-320
56,Improved Algorithm,15,-690
56,Improved Algorithm,30,-385
56,Improved Algorithm,60,-225
56,Improved Algorithm,120,-225
56,Standard Algorithm,15,-1065
56,Standard Algorithm,30,-550
56,Standard Algorithm,60,-385
56,Standard Algorithm,120,-305
57,Improved Algorithm,15,-690
57,Improved Algorithm,30,-385
57,Improved Algorithm,60,-225
57,Improved Algorithm,120,-210
57,Standard Algorithm,15,-1065
57,Standard Algorithm,30,-550
57,Standard Algorithm,60,-380
57,Standard Algorithm,120,-295
58,Improved Algorithm,15,-690
58,Improved Algorithm,30,-360
58,Improved Algorithm,60,-220
58,Improved Algorithm,120,-205
58,Standard Algorithm,15,-1065
58,Standard Algorithm,30,-550
58,Standard Algorithm,60,-370
58,Standard Algorithm,120,-275
59,Improved Algorithm,15,-690
59,Improved Algorithm,30,-360
59,Improved Algorithm,60,-215
59,Improved Algorithm,120,-200
59,Standard Algorithm,15,-1065
59,Standard Algorithm,30,-550
59,Standard Algorithm,60,-365
59,Standard Algorithm,120,-275
60,Improved Algorithm,15,-690
60,Improved Algorithm,30,-345
60,Improved Algorithm,60,-215
60,Improved Algorithm,120,-200
60,Standard Algorithm,15,-1065
60,Standard Algorithm,30,-545
60,Standard Algorithm,60,-360
60,Standard Algorithm,120,-260
61,Improved Algorithm,15,-690
